TU_ID,Gene_name,Start,End,Strand,Expression_EP,Expression_SP,Description
392,ybjP,905496,906066,-,3.087058642,15.16166847,ybjP
393,ltaE-ybjT,908396,910863,-,0.724215186,1.976276806,ltaE-ybjT
394,poxB,910875,912619,-,0.759715579,9.477595089,poxB
395,hcp-hcr,912726,915388,-,0.171883988,0.135022912,hcp-hcr
396,hcp-hcr-poxB,910875,915388,-,0.395207607,3.745941464,hcp-hcr-poxB
397,hcp-hcr,912726,915672,-,0.176108256,0.136690199,hcp-hcr
398,lysO,915502,916438,-,0.484872396,0.158412198,lysO
399,ybjX,919672,920646,-,8.486546284,1.135927336,ybjX
400,cspD,923910,924219,-,13.39756586,163.228234,cspD
401,clpA,924624,927083,+,14.73247345,17.03271182,clpA
402,clpA,924636,927083,+,14.78223131,17.02187232,clpA
403,clpA,924754,927083,+,14.46948467,16.497446,clpA
404,serW,927387,927549,-,0.492672555,0.289632728,serW
405,serW,927387,927586,-,0.672447601,0.358529509,serW
406,infA,927706,928022,-,48.17150081,11.06185039,infA
407,infA,927706,928228,-,29.82684838,6.902285173,infA
408,cydDC,929018,932574,-,1.072509087,1.126829857,cydDC
409,trxB,932563,933621,-,13.57972795,3.269624029,trxB
410,lrp,933872,934632,+,25.03904768,17.48301296,lrp
411,ftsK,934473,938756,+,3.594773774,2.292451813,ftsK
412,ftsK,934682,938756,+,3.366831213,2.087598839,ftsK
413,lolA-rarA,938872,940880,+,3.325609366,1.291468644,lolA-rarA
414,serS,940909,942308,+,18.62436211,12.21506043,serS
415,dmsABC,942367,946439,+,0.378516481,0.410105584,dmsABC
416,dmsABC,942422,946439,+,0.383696478,0.415717877,dmsABC
417,pflA,951845,952697,-,3.231225585,4.984440263,pflA
418,pflB,952751,955122,-,57.5735554,170.4229218,pflB
419,pflB,952751,955184,-,56.3633841,166.5268944,pflB
420,pflB,952751,955284,-,54.65226167,160.8826912,pflB
421,pflB,952751,955394,-,53.14858469,155.5298151,pflB
422,pflB,952751,955468,-,51.78066195,151.4315101,pflB
423,focA-pflB,952751,956036,-,44.33570885,127.8193801,focA-pflB
424,focA-pflB,952751,956046,-,44.20306053,127.4316962,focA-pflB
425,focA-pflB,952751,956357,-,40.39616103,116.4512233,focA-pflB
426,serC,959123,960284,+,6.677435988,6.408339502,serC
427,serC,959139,960284,+,6.770582436,6.481503846,serC
428,serC-aroA,959139,961638,+,5.501006744,4.003342726,serC-aroA
429,cmk-rpsA,962709,965211,+,241.5533869,70.31792758,cmk-rpsA
430,rpsA-ihfB,963261,965655,+,256.0765149,80.41154986,rpsA-ihfB
431,rpsA-ihfB,963403,965655,+,271.7168376,85.23716715,rpsA-ihfB
432,ihfB,965293,965655,+,33.98842876,51.52659671,ihfB
433,ycaR-kdsB,972186,973141,+,4.90328676,3.938418249,ycaR-kdsB
434,ycbJ,973216,974188,+,0.889149601,2.219550573,ycbJ
435,cmoM-mukFEB,974948,982329,+,7.577960934,1.920556674,cmoM-mukFEB
436,ldtD,982475,984437,+,1.342695614,3.124964819,ldtD
437,ycbK-gloC,984567,985840,+,7.200682704,11.20904838,ycbK-gloC
438,aspC,986063,987286,-,12.00447049,6.432210037,aspC
439,ompF,987438,988635,-,210.9897971,3.763300324,ompF
440,asnS,989129,990587,-,14.74406744,9.819255169,asnS
441,pncB,990698,991957,-,4.138026959,2.579075495,pncB
442,pepN,992135,994777,+,10.73848666,5.79901214,pepN
443,ssuEADCB,994821,999106,-,0.076089681,0.089457424,ssuEADCB
444,pyrD,1006276,1007321,+,1.384276511,0.292291659,pyrD
445,rlmL-uup,1009216,1013414,+,4.052922064,1.329995751,rlmL-uup
446,pqiABC,1013203,1017002,+,2.283238583,1.718614591,pqiABC
447,pqiABC,1013210,1017002,+,2.285767906,1.721785466,pqiABC
448,rmf,1017201,1017467,+,6.659514051,2220.620407,rmf
449,fabA,1017496,1018041,-,43.61778996,33.44428279,fabA
450,matP,1020003,1020480,+,2.760725095,1.568737973,matP
451,ompA,1020557,1021730,-,282.0205202,105.8440622,ompA
452,ompA,1020557,1021734,-,281.0637076,105.4849644,ompA
453,sulA,1021954,1022490,-,3.569152377,4.392281787,sulA
454,sxy,1022627,1023310,+,1.105548787,1.323420984,sxy
455,yccFS,1023274,1025908,-,1.252684426,1.095281899,yccFS
456,helD,1025982,1028068,+,1.172043341,1.850597096,helD
457,mgsA,1028101,1028584,-,19.47604628,6.029387213,mgsA
458,yccT,1028655,1029380,-,0.208805482,0.349381259,yccT
459,yccA,1032303,1032986,-,19.44406413,33.42883209,yccA
460,serT,1033095,1033262,-,0,0.508039788,serT
461,serT,1033134,1033262,-,0,0.229424876,serT
462,hyaABCDEF,1033528,1039177,+,0.060696219,8.946252079,hyaABCDEF
463,appCBXA,1039254,1043458,+,0.137002886,2.646033678,appCBXA
464,appA,1042143,1043458,+,0.150415547,2.619340943,appA
465,gfcA,1050983,1052245,-,1.77288642,1.8741822,gfcA
466,torR,1058806,1059527,-,0.466820652,0.565234039,torR
467,torCAD,1059600,1063941,+,0.079898084,0.203096421,torCAD
468,cbpAM,1064094,1065371,-,1.078855507,15.98593633,cbpAM
469,cbpAM,1064094,1065376,-,1.074654357,15.92368579,cbpAM
470,cbpAM,1064094,1065462,-,1.025444018,14.93082952,cbpAM
471,cbpAM,1064094,1065580,-,0.944125205,13.75038985,cbpAM
472,agp,1067103,1068400,+,0.966642886,3.053044162,agp
473,wrbA-yccJ,1068408,1069301,-,6.145771299,75.30894166,wrbA-yccJ
474,rutABCDEFG,1070055,1075569,-,0.035055652,0.065383333,rutABCDEFG
475,rutR,1075657,1076423,+,1.214932807,0.883429895,rutR
476,rutR,1075678,1076423,+,1.249087544,0.908265274,rutR
477,putA,1076464,1080468,-,2.9639186,2.546299458,putA
478,putP,1080712,1082381,+,3.738028034,0.724424754,putP
479,putP,1080723,1082381,+,3.7627981,0.729225159,putP
480,putP,1080729,1082381,+,3.776447911,0.731870474,putP
481,putP,1080754,1082381,+,3.827018857,0.740245722,putP
482,putP,1080835,1082381,+,4.011837317,0.769568958,putP
483,efeU_1U_2,1082851,1083728,+,1.165086311,0.263689762,efeU_1U_2
484,phoH,1086409,1087638,+,2.353694373,1.291104975,phoH
485,phoH,1086482,1087638,+,2.502070615,1.372495876,phoH
486,pgaABCD,1087650,1094066,-,0.460159696,0.116525555,pgaABCD
487,dgcT,1094385,1095777,+,0.280449168,0.107285213,dgcT
488,serX,1098928,1099038,-,0.434763499,0.492528031,serX
489,ycdZ,1101615,1102149,+,25.2321382,20.52795331,ycdZ
490,csgDEFG,1102214,1104697,-,0.221079752,0.315231662,csgDEFG
491,csgDEFG,1102214,1104706,-,0.220281951,0.314094098,csgDEFG
492,csgBAC,1105222,1106655,+,0.134647887,0.140130813,csgBAC
493,ymdA,1108074,1108423,+,0.135211231,0.324941304,ymdA
494,ymdAB-clsC,1108074,1110474,+,0.616868819,1.643564302,ymdAB-clsC
495,ymdAB,1108074,1109051,+,0.726583442,1.54162465,ymdAB
496,ymdB-clsC,1108502,1110474,+,0.72657536,1.942141365,ymdB-clsC
497,ymdB,1108502,1109051,+,1.204838562,2.532116397,ymdB
498,clsC,1108991,1110474,+,0.60183347,1.821104676,clsC
499,opgGH,1111956,1116258,+,7.593530825,4.066448989,opgGH
500,opgGH,1111977,1116258,+,7.630762706,4.086387216,opgGH
501,msyB,1116506,1116911,-,4.213836834,59.26755439,msyB
502,lpxL,1118361,1119407,-,1.263337875,0.448474968,lpxL
503,yceA,1119471,1120557,+,2.758188471,0.532933914,yceA
504,yceJI,1120600,1121769,-,1.166313089,0.846751306,yceJI
505,solA-yceO,1122006,1123307,-,2.793697122,0.892219145,solA-yceO
506,bssS,1123400,1123718,-,8.400330072,19.94632624,bssS
507,bssS,1123400,1123730,-,8.096703684,19.22537469,bssS
508,bssS,1123400,1123756,-,7.508674925,17.82911843,bssS
509,dinI,1123941,1124207,-,2.563769522,0.255038599,dinI
510,pyrC,1124260,1125341,-,1.350408301,0.459711586,pyrC
511,grxB,1126106,1126801,-,7.080961239,86.94431714,grxB
512,rimJ,1128221,1128844,+,3.841326432,2.198846445,rimJ
513,flgMN,1132113,1132863,-,1.123648565,1.093948183,flgMN
514,flgAMN,1132113,1133583,-,1.021410319,0.648167924,flgAMN
515,flgBCDEFGHIJ,1133692,1141010,+,1.212793459,0.080157144,flgBCDEFGHIJ
516,flgKL,1141050,1143684,+,0.411015729,0.455149035,flgKL
517,rne,1143881,1147119,-,11.35082015,4.151795307,rne
518,rne,1143881,1147426,-,11.19033332,4.225827798,rne
519,rne,1143881,1147460,-,11.08907743,4.202193403,rne
520,rne,1143881,1147571,-,10.75889618,4.078330279,rne
521,sraB,1149288,1149450,+,19.98159315,6.826332485,sraB
522,yceD-rpmF,1149348,1150238,+,172.2678019,32.25393989,yceD-rpmF
523,yceD-rpmF,1149490,1150238,+,201.5864388,37.21886783,yceD-rpmF
524,rpmF-plsX-fabHDG,1150037,1154102,+,62.56419593,16.17694059,rpmF-plsX-fabHDG
525,plsX-fabHDG,1150276,1154102,+,44.71314943,13.63530847,plsX-fabHDG
526,fabHDG,1151215,1154102,+,50.66365058,16.31443163,fabHDG
527,acpP-fabF,1154274,1155878,+,89.12658804,32.97649473,acpP-fabF
528,acpP,1154274,1154585,+,280.6265299,128.1992713,acpP
529,ptsG,1160325,1162000,+,25.43781794,13.6533033,ptsG
530,ptsG,1160465,1162000,+,27.70262882,14.80584922,ptsG
531,fhuE,1162024,1164345,-,0.307598818,0.318002668,fhuE
532,ndh,1168691,1170087,+,7.946106152,1.757338218,ndh
533,comR,1170899,1171542,-,1.732121533,2.415341753,comR
534,bhsA,1171718,1172028,+,1.192696475,5.538199501,bhsA
535,bhsA,1171732,1172028,+,1.248729195,5.79838337,bhsA
536,ldtC,1172111,1173115,-,0.587474619,0.76705013,ldtC
537,mfd,1173217,1176690,-,1.622807314,1.767137734,mfd
538,mfd,1173217,1176726,-,1.606167877,1.749018407,mfd
539,pepT,1188522,1189768,+,2.076892506,5.130841482,pepT
540,phoQ,1191015,1192638,-,4.417275673,1.567064521,phoQ
541,phoPQ,1191015,1193181,-,5.870873373,1.993954486,phoPQ
542,phoPQ,1191015,1193189,-,5.84928928,1.986623771,phoPQ
543,phoPQ,1191015,1193206,-,5.806689027,1.973345558,phoPQ
544,hflD-purB,1193315,1195384,-,4.683313274,1.961000086,hflD-purB
545,iraM,1214379,1214788,-,1.062437543,0.341878065,iraM
546,iraM,1214379,1214821,-,0.983472591,0.316468209,iraM
547,bluR,1216027,1216811,-,3.876425554,1.685136214,bluR
548,bluF,1216963,1218204,-,1.255845319,0.706271319,bluF
549,ycgZ-ymgA-ariR-ymgC,1218451,1219694,+,0.261536554,1.325469749,ycgZ-ymgA-ariR-ymgC
550,ycgL,1230308,1230705,+,4.186546154,4.288240339,ycgL
551,hlyE,1232182,1233164,-,0.056176909,0.881727059,hlyE
552,umuDC,1233437,1235152,+,0.26862095,0.29018552,umuDC
553,fadR,1237604,1238396,+,6.208496178,2.597564907,fadR
554,fadR,1237615,1238396,+,6.29571643,2.634056878,fadR
555,ycgB,1238408,1239983,-,0.588355456,17.92766955,ycgB
556,dadAX,1240208,1242647,+,3.877610409,1.392676416,dadAX
557,dadAX,1240224,1242647,+,3.903194643,1.401865209,dadAX
558,dadAX,1240237,1242647,+,3.924231762,1.409420867,dadAX
559,ycgR,1246492,1247254,-,0.255751235,0.123550323,ycgR
560,treA,1248378,1250123,-,0.892638558,1.844178865,treA
561,dhaKLM,1250395,1253642,-,18.36546813,1.42812261,dhaKLM
562,dhaR,1253702,1255683,+,0.92828787,0.386661482,dhaR
563,ychF,1259420,1260580,-,10.10098076,3.886331895,ychF
564,pth-ychF,1259420,1261240,-,7.408553646,3.248745407,pth-ychF
565,ychH,1261437,1261767,+,15.35758397,61.97000268,ychH
566,prs,1263594,1264875,-,23.6916133,16.56635245,prs
567,lolB-ispE-prs,1263594,1266254,-,13.17706904,9.792653477,lolB-ispE-prs
568,hemA,1266282,1267668,+,2.76189811,3.444224257,hemA
569,hemA-prfA-prmC,1266375,1269625,+,2.984720137,2.244439105,hemA-prfA-prmC
570,ychQA-kdsA,1269598,1271765,+,5.521883069,2.566824508,ychQA-kdsA
571,kdsA,1270553,1271765,+,7.795075185,3.415704755,kdsA
572,chaC,1275121,1275900,+,1.234392603,4.086861808,chaC
573,ychO,1276459,1277876,+,1.052380749,1.159433057,ychO
574,narXL,1277878,1280475,-,1.828056914,2.0765713,narXL
575,narK,1280520,1282046,+,0.158755626,2.283178226,narK
576,narK,1280631,1282046,+,0.166946388,2.458745835,narK
577,narGHJI,1282506,1289224,+,0.155292892,3.904819154,narGHJI
578,tyrTV-tpr,1289708,1290363,-,2.338946752,0.657433998,tyrTV-tpr
579,rssAB,1291805,1293953,+,2.590643302,3.501475724,rssAB
580,ychJ,1291373,1291875,-,4.298160879,1.809913284,ychJ
581,rssB,1292919,1293953,+,1.986088427,4.510641111,rssB
582,galU,1294104,1295063,+,11.27029678,2.792631195,galU
583,hns,1295160,1295656,-,168.4435743,59.9652555,hns
584,adhE,1298145,1301007,-,19.40791097,25.20338278,adhE
585,adhE,1298145,1301111,-,18.75840218,24.37516183,adhE
586,oppABCDF,1303921,1309603,+,27.96175561,30.11798072,oppABCDF
587,clsA-yciU,1309657,1311508,-,2.275791438,1.606725538,clsA-yciU
588,yciI,1313405,1313727,-,8.166874829,11.76083497,yciI
589,tonB,1313890,1314681,+,6.282876998,3.147360067,tonB
590,yciCB,1315097,1316533,-,2.533811816,2.121615913,yciCB
591,ompW,1316827,1317493,+,5.701038641,7.326273984,ompW
592,yciE,1317504,1318231,-,0.339620557,2.492024387,yciE
593,yciGFE,1317504,1318927,-,0.241303755,4.450619746,yciGFE
594,yciG,1318621,1318927,-,0.155126955,11.15326139,yciG
595,trpCBA,1319252,1322779,-,0.842484994,0.680036429,trpCBA
596,trpLEDCBA,1319219,1325943,-,0.47011067,0.412754627,trpLEDCBA
597,trpL,1325811,1325943,-,0.089784531,0.361486291,trpL
598,yciVOQ,1326024,1329476,+,2.157682126,1.975419203,yciVOQ
599,sohB,1332120,1333216,+,5.479102857,4.105866511,sohB
600,sohB,1332137,1333216,+,5.559360333,4.170436105,sohB
601,topA,1333625,1336480,+,18.97401867,13.29341869,topA
602,topA,1333654,1336480,+,19.16858958,13.42973734,topA
603,topA,1333684,1336480,+,19.37411413,13.57373023,topA
604,topA,1333719,1336480,+,19.6195336,13.74233562,topA
605,topA,1333816,1336480,+,20.09803057,13.86697477,topA
606,cysB,1336624,1337709,+,5.791520352,3.476857962,cysB
607,ymiA-yciX,1337926,1338293,+,1.95435405,0.856333105,ymiA-yciX
608,acnA,1338260,1341341,+,2.542913293,15.43202266,acnA
609,acnA,1338617,1341341,+,2.744720959,17.39641221,acnA
610,acnA,1338663,1341341,+,2.791831841,17.69500735,acnA
611,ribA,1341348,1342025,-,7.694240068,4.484173687,ribA
612,ribA,1341348,1342069,-,7.225987561,4.211277916,ribA
613,pgpB,1342145,1342929,+,1.176125786,1.399288989,pgpB
614,lapAB,1342971,1344562,+,2.523377774,3.307349256,lapAB
615,lapAB-pyrF-yciH,1342971,1345819,+,2.330442258,2.430626967,lapAB-pyrF-yciH
616,lapAB,1343022,1344562,+,2.595356362,3.401307356,lapAB
617,pyrF-yciH,1344706,1345819,+,2.324433788,1.474465362,pyrF-yciH
618,osmB,1345946,1346204,-,0.832280803,41.40722482,osmB
619,osmB,1345946,1346311,-,0.589626727,29.34937902,osmB
620,yciT,1346433,1347345,-,3.919724109,1.298243542,yciT
621,yciZT,1346433,1347473,-,3.550617191,1.263927297,yciZT
622,pdeR,1347593,1349678,-,1.168428231,2.040312387,pdeR
623,rnb,1349778,1351779,-,7.992199531,3.797070517,rnb
624,rnb,1349778,1351964,-,7.352703836,3.618240878,rnb
625,yciW,1351816,1352967,-,0.332638795,2.501072638,yciW
626,fabI,1353087,1353953,-,29.13424644,27.65343244,fabI
627,fabI,1353087,1353956,-,29.03389887,27.55818526,fabI
628,puuP,1360638,1362208,-,0.202679465,0.150308309,puuP
629,puuAP,1360638,1363803,-,0.194272141,0.145318726,puuAP
630,puuDRCBE,1363888,1369650,+,0.318508127,0.203454337,puuDRCBE
631,puuCBE,1365564,1369650,+,0.063010652,0.036945456,puuCBE
632,pspF,1369654,1370764,-,0.796100582,0.28688025,pspF
633,pspF,1369654,1370780,-,0.784808375,0.282811026,pspF
634,pspABCDE,1370874,1372838,+,3.006932077,7.483769484,pspABCDE
635,pspF,1369654,1370875,-,0.734290008,0.275926912,pspF
636,ycjXF-tyrR,1386905,1391096,+,1.804001243,1.322857474,ycjXF-tyrR
637,tyrR,1389528,1391136,+,4.061894423,1.76574745,tyrR
638,tpx,1391141,1391679,-,57.21311581,22.74026118,tpx
639,ycjG,1391710,1392730,+,2.174739507,3.074573188,ycjG
640,ycjY,1393769,1394907,-,0.213634999,0.772600469,ycjY
641,ycjY-ymjDC-mpaA,1392706,1394907,-,0.720555175,1.150716438,ycjY-ymjDC-mpaA
642,ynaI,1397727,1398808,-,0.762327677,0.557211341,ynaI
643,uspE,1400508,1401494,-,12.01216078,26.846583,uspE
644,fnr,1401610,1402387,-,19.52101749,20.42479364,fnr
645,ogt,1402557,1403119,-,0.872369235,0.949188335,ogt
646,mcaS,1408495,1408586,-,0.384660447,0.149219031,mcaS
647,zntB,1410860,1411868,+,1.946305898,2.482471887,zntB
648,fnrS,1411965,1412084,+,0.603135229,2.092213958,fnrS
649,ralA,1416392,1416559,+,0.069146276,0,ralA
650,uspF,1438021,1438476,-,6.902342481,35.08787375,uspF
651,ompN,1438596,1439848,-,0.082911954,0.027010868,ompN
652,micC,1439957,1440064,+,0.053604223,0.349630512,micC
653,ydbK,1440096,1443666,-,2.862126745,5.722030225,ydbK
654,ydbK-ompN,1438596,1443666,-,2.037328704,4.036467585,ydbK-ompN
655,ydbK-ompN,1438596,1443681,-,2.031321247,4.025615734,ydbK-ompN
656,ydbJ,1443865,1444159,+,5.13962192,9.814391371,ydbJ
657,hslJ,1444157,1444615,-,3.413841319,6.232289275,hslJ
658,ldhA,1444690,1445750,-,2.641344602,4.985549056,ldhA
659,feaR,1449214,1450144,-,0.637819699,0.997641399,feaR
660,feaR,1449214,1450184,-,0.611571975,0.956586197,feaR
661,feaR,1449214,1450202,-,0.606354364,0.939193721,feaR
662,feaB,1450206,1451898,+,0.417311597,0.6291238,feaB
663,feaR,1449214,1450229,-,0.59025646,0.914259375,feaR
664,feaB,1450328,1451853,+,0.459124417,0.697927778,feaB
665,tynA,1451912,1454244,-,0.096614057,0.16426536,tynA
666,paaZ,1454433,1456505,-,0.040202421,0.045885096,paaZ
667,paaABCDEFGHIJK,1456701,1466273,+,0.308688832,0.148879017,paaABCDEFGHIJK
668,paaXY,1466345,1467896,+,1.277658029,1.699841463,paaXY
669,ydbD,1477902,1480285,+,0.058075741,0.062306985,ydbD
670,ynbABCD,1480433,1485036,+,0.081454749,0.098902989,ynbABCD
671,azoR,1485091,1485739,-,1.705579579,0.983396595,azoR
672,aldA,1491026,1492506,+,66.0274635,20.72495913,aldA
673,rydC,1494279,1494341,-,12.75520312,4.316768413,rydC
674,sokB,1494955,1495009,+,1.700682934,1.921065216,sokB
675,trg,1495275,1496945,+,0.566618738,0.18063784,trg
676,ydcI,1496984,1497969,-,5.806057021,1.282059901,ydcI
677,rimL,1501579,1502312,+,1.536586666,3.831603126,rimL
678,tehAB,1503372,1504990,+,1.893794678,1.189017395,tehAB
679,sutR,1508986,1509543,+,0.915509747,0.388876423,sutR
680,hicAB,1512057,1512759,+,0.767808319,1.314069326,hicAB
681,ydcR,1512814,1514244,+,1.248659046,0.716923253,ydcR
682,ydcSTUV-patD,1514435,1519837,+,0.193410414,2.269790293,ydcSTUV-patD
683,yncE,1526063,1527203,+,4.374055133,0.973154695,yncE
684,ansP,1527317,1528846,-,0.733573577,0.09255422,ansP
685,ansP,1527317,1528855,-,0.729286459,0.092013319,ansP
686,yncG,1529064,1529699,+,0.113674034,2.13853763,yncG
687,narWV,1538773,1541522,-,0.045508634,0.608548279,narWV
688,narU,1545508,1546959,-,0.025232199,0.538659348,narU
689,narU,1545508,1546998,-,0.024572644,0.524579111,narU
690,yddG,1549124,1550040,-,0.672906983,0.192967508,yddG
691,fdnGHI,1550208,1554826,+,0.605539092,0.368699806,fdnGHI
692,sra,1558662,1558881,-,5.306886879,344.3250312,sra
693,bdm-sra,1558662,1559175,-,2.277324272,147.8529535,bdm-sra
694,osmC,1559432,1559891,+,2.7609457,75.2734607,osmC
695,osmC,1559442,1559891,+,2.822164009,76.94249531,osmC
696,ddpXABCDF,1559948,1565942,-,0.135868555,0.587575751,ddpXABCDF
697,ddpXABCDF,1559948,1566036,-,0.134730824,0.579256915,ddpXABCDF
698,ddpXABCDF,1559948,1566084,-,0.13367721,0.574727046,ddpXABCDF
699,gadBC,1571740,1574907,-,0.446554648,233.4568741,gadBC
700,ydeNM,1582469,1585389,-,0.278008539,0.032332486,ydeNM
701,safA-ydeO,1585762,1586863,-,0.005790042,0.022346093,safA-ydeO
702,ydeP,1587043,1589499,-,0.153196537,0.147035669,ydeP
703,hipBA,1593690,1595317,-,1.041661477,0.951425907,hipBA
704,lsrRK,1601453,1604092,-,0.661383004,1.198246809,lsrRK
705,lsrACDBFG-tam,1604296,1610939,+,0.146054018,0.845057552,lsrACDBFG-tam
706,tam,1610057,1610939,+,0.566666622,4.679036753,tam
707,uxaB,1612065,1613555,-,0.547375221,0.455601461,uxaB
708,ydeA,1619791,1621053,+,0.267670056,0.251015956,ydeA
709,marC,1621079,1621776,-,1.14437336,2.430948576,marC
710,marRAB,1621929,1623042,+,3.469548244,0.992414429,marRAB
711,mgtS,1625424,1625634,+,23.25267344,6.010023745,mgtS
712,mgrR,1625653,1625749,-,2.345216419,1.474093575,mgrR
713,dgcZ,1625796,1626714,-,0.703358879,1.70602023,dgcZ
714,ydeI,1626941,1627394,-,0.389662329,4.270342709,ydeI
715,ydeJ,1627524,1628126,+,0.202631017,1.279599542,ydeJ
716,ydfG,1630327,1631098,+,6.199268102,4.144997297,ydfG
717,ydfH,1631162,1631873,+,4.085789581,3.36076098,ydfH
718,ydfK,1635559,1636140,+,0.721007882,0.631173261,ydfK
719,nohA-ydfN-tfaQ,1637146,1639438,-,0.069754499,0.081692262,nohA-ydfN-tfaQ
720,gnsB,1640445,1640681,-,4.715391709,2.791445825,gnsB
721,cspI,1641291,1641547,-,0.182512748,0.356494623,cspI
722,cspI,1641291,1641647,-,0.131531533,0.25691512,cspI
723,relBE-hokD,1647870,1648738,-,4.03071271,8.582630941,relBE-hokD
724,flxA,1649224,1649572,+,0.052621554,0.127073844,flxA
725,dicC-ydfXW,1650010,1650711,-,0.197201212,0.087425625,dicC-ydfXW
726,ydfABC,1651274,1651876,+,0.519419105,0.329953645,ydfABC
727,dicB-ydfDE-insD-7-intQ,1652433,1655543,+,0.34533202,0.201486217,dicB-ydfDE-insD-7-intQ
728,ynfB-speG,1658545,1659579,+,8.332588845,1.953558313,ynfB-speG
729,ynfEFGH-dmsD,1660839,1667955,+,0.674359564,0.506620431,ynfEFGH-dmsD
730,mlc-ynfK,1669360,1671426,-,6.175068749,4.241330473,mlc-ynfK
731,mlc,1670180,1671438,-,7.311762013,2.770406726,mlc
732,ynfM,1672508,1673787,+,0.607349336,3.708111513,ynfM
733,asr,1674163,1674555,+,0.1981739,1.345761061,asr
734,mdtJI,1675656,1676614,-,0.910013126,0.345147629,mdtJI
735,tqsA,1676726,1677782,+,0.387949713,0.18471247,tqsA
736,pntAB,1677808,1680810,-,13.54786583,2.614381075,pntAB
737,rstAB,1684974,1687018,+,4.629027566,0.782393065,rstAB
738,fumC,1688021,1689489,-,1.799746695,0.584165181,fumC
739,fumC,1688021,1689544,-,1.734837798,0.563096928,fumC
740,fumA,1689541,1691275,-,5.514983174,1.319352848,fumA
741,fumAC,1688021,1691275,-,3.752960206,0.967174251,fumAC
742,manA,1691387,1692586,+,6.824455785,4.019414056,manA
743,ydgA,1692630,1694195,+,12.7864861,16.25962026,ydgA
744,uidABC,1694422,1698987,-,0.509736484,0.14484483,uidABC
745,uidR,1699298,1699910,-,6.32453988,4.559406346,uidR
746,hdhA,1700109,1700957,-,3.951632169,10.34747376,hdhA
747,malI,1700972,1702063,-,0.948615062,0.169562264,malI
748,malXY,1702149,1704964,+,0.902830585,0.603174828,malXY
749,add,1705038,1706069,+,10.27842421,8.749163402,add
750,blr,1707348,1707511,+,0.403593611,0.37717246,blr
751,ydgK-rsxABCDGE-nth,1708043,1714993,+,2.266369215,0.408921571,ydgK-rsxABCDGE-nth
752,rsxABCDGE-nth,1708591,1714993,+,2.186031481,0.190657759,rsxABCDGE-nth
753,dtpA,1715507,1717106,+,15.71389608,2.368455126,dtpA
754,gstA,1717163,1717817,+,2.916911809,10.77028803,gstA
755,tyrS-pdxY,1717862,1720104,-,10.11504975,4.535243643,tyrS-pdxY
756,tyrS-pdxY,1717862,1720118,-,10.05233465,4.509185216,tyrS-pdxY
757,pdxH-tyrS-pdxY,1717862,1720869,-,8.72173504,3.990383269,pdxH-tyrS-pdxY
758,slyB,1722584,1723178,+,70.22811398,32.03378122,slyB
759,slyB,1722613,1723178,+,73.82002809,33.67219331,slyB
760,ydhIJK,1723834,1726968,+,0.569977943,1.11675462,ydhIJK
761,sodC,1726970,1727514,-,1.750669251,17.55040037,sodC
762,nemRA,1728857,1730591,+,1.46201716,0.514988931,nemRA
763,nemRA-gloA,1728857,1731079,+,4.072534341,1.422305027,nemRA-gloA
764,gloA,1730637,1731079,+,14.68300582,5.110778368,gloA
765,lhr,1731189,1736575,+,0.344209044,0.390548685,lhr
766,grxD,1736590,1736997,-,23.30256222,11.19502041,grxD
767,mepH,1737193,1738085,+,2.05252673,1.163810222,mepH
768,sodB,1738159,1738949,+,39.86337473,88.41794623,sodB
769,purR,1740525,1741704,+,4.856133644,1.107947606,purR
770,cfa,1744037,1745396,+,3.472487708,38.90041438,cfa
771,cfa,1744215,1745396,+,3.478975475,42.61669227,cfa
772,ydhQ,1747707,1749037,-,5.839036513,9.914026998,ydhQ
773,valVW,1749251,1749427,+,0.271618569,0.156392229,valVW
774,ydhYVWXUT,1751583,1757477,-,0.088885709,0.147151099,ydhYVWXUT
775,pykF,1758303,1759945,+,27.27574961,44.894988,pykF
776,pykF,1758436,1759945,+,29.59897047,48.77129619,pykF
777,pykF,1758453,1759945,+,29.85466142,49.29798483,pykF
778,pykF,1758499,1759945,+,30.70354576,50.82961794,pykF
779,lpp,1760132,1760492,+,106.6766807,48.77104427,lpp
780,lpp,1760219,1760492,+,140.3815537,64.18350743,lpp
781,sufABCDSE,1761710,1767253,-,1.66540327,8.924617771,sufABCDSE
782,rprA,1773208,1773311,+,0,0.050891876,rprA
783,ydiP,1781226,1782163,-,0.368604273,0.155315761,ydiP
784,ppsA,1787570,1789996,-,3.015897426,12.84208533,ppsA
785,aroH,1791154,1792345,+,1.859041959,1.477670424,aroH
786,aroH,1791220,1792345,+,1.848770232,1.446732271,aroH
787,ydiU,1792644,1794089,-,4.589413952,1.328267611,ydiU
788,ydiV,1794143,1794922,-,0.676860102,0.36852342,ydiV
789,ihfA,1798052,1798556,-,43.79134534,42.33833121,ihfA
790,pheMST-ihfA,1798052,1802136,-,24.69646769,8.415075961,pheMST-ihfA
791,pheM,1801997,1802136,-,0.601505957,0.408368607,pheM
792,rplT,1802199,1802598,-,287.1595361,113.3703035,rplT
793,rplT-pheM,1801997,1802598,-,191.1041232,75.49539825,rplT-pheM
794,rpmI-rplT,1802199,1803262,-,338.2661804,136.5908453,rpmI-rplT
